"date","region_municipality_code","weeknumber","RNA_value","municipality_name","population","Total_reported","Hospital_admission","Deceased","reported_norm","hospital_norm","deceased_norm"
2020-09-07,"GM0547","37",NA,"Leiderdorp",27056,5,0,0,18.4801892371378,0,0
2020-09-07,"GM0553","37",0,"Lisse",22955,6,0,0,26.1380962753213,0,0
2020-09-07,"GM0556","37",2.345244e+12,"Maassluis",33213,21,1,0,63.2282539969289,3.010869237949,0
2020-09-07,"GM0569","37",500796611250,"Nieuwkoop",28811,2,0,0,6.94179306514873,0,0
2020-09-07,"GM0575","37",2296435189500,"Noordwijk",43508,22,0,0,50.565413257332,0,0
2020-09-07,"GM0579","37",NA,"Oegstgeest",24840,8,0,0,32.2061191626409,0,0
2020-09-07,"GM0589","37",0,"Oudewater",10230,2,0,0,19.5503421309873,0,0
2020-09-07,"GM0590","37",6307563555000,"Papendrecht",32136,11,0,0,34.2295245207867,0,0
2020-09-07,"GM0597","37",2173452825666.67,"Ridderkerk",46189,21,0,0,45.4653705427699,0,0
2020-09-07,"GM0599","37",3600704012375,"Rotterdam",651168,654,16,0,100.434910806428,2.45712320015726,0
2020-09-07,"GM0603","37",351565032000,"Rijswijk",54450,51,0,0,93.66391184573,0,0
2020-09-07,"GM0606","37",2766957600000,"Schiedam",78730,54,0,0,68.588847961387,0,0
2020-09-07,"GM0610","37",862471038000,"Sliedrecht",25220,5,0,0,19.8255352894528,0,0
2020-09-07,"GM0613","37",3817896360000,"Albrandswaard",25590,22,0,0,85.9710824540836,0,0
2020-09-07,"GM0614","37",28780989000,"Westvoorne",14731,6,0,0,40.7304324214242,0,0
2020-09-07,"GM0622","37",5158102400000,"Vlaardingen",73397,41,0,0,55.860593757238,0,0
2020-09-07,"GM0626","37",NA,"Voorschoten",25596,13,0,0,50.7891858102829,0,0
2020-09-07,"GM0627","37",427211789000,"Waddinxveen",29291,15,0,0,51.2102693660169,0,0
2020-09-07,"GM0629","37",165972632000,"Wassenaar",26305,11,0,0,41.8171450294621,0,0
2020-09-07,"GM0632","37",1093610694666.67,"Woerden",52299,16,1,0,30.5933191839232,1.9120824489952,0
2020-09-07,"GM0637","37",794335472000,"Zoetermeer",125285,81,1,0,64.6525920900347,0.798180149259688,0
2020-09-07,"GM0638","37",NA,"Zoeterwoude",8605,3,0,0,34.8634514816967,0,0
2020-09-07,"GM0642","37",2398604858000,"Zwijndrecht",44737,19,1,0,42.4704383396294,2.23528622840155,0
2020-09-07,"GM0654","37",276110642400,"Borsele",22739,3,0,0,13.1931923127666,0,0
2020-09-07,"GM0664","37",466967998800,"Goes",38082,5,0,0,13.1295625229767,0,0
2020-09-07,"GM0668","37",NA,"West Maas en Waal",19324,3,1,0,15.5247360794866,5.17491202649555,0
2020-09-07,"GM0677","37",0,"Hulst",27556,2,0,0,7.25794745246044,0,0
2020-09-07,"GM0678","37",154189276400,"Kapelle",12695,0,0,0,0,0,0
2020-09-07,"GM0687","37",980922672000,"Middelburg",48822,10,0,0,20.4825693334972,0,0
2020-09-07,"GM0703","37",1244330151466.67,"Reimerswaal",22730,2,0,0,8.79894412670479,0,0
2020-09-07,"GM0715","37",0,"Terneuzen",54426,4,0,0,7.34942858192775,0,0
2020-09-07,"GM0716","37",7.2727e+11,"Tholen",25757,4,0,0,15.5297589004931,0,0
2020-09-07,"GM0717","37",439660256000,"Veere",21880,2,0,0,9.14076782449726,0,0
2020-09-07,"GM0718","37",888557072000,"Vlissingen",44360,5,0,0,11.2714156898106,0,0
2020-09-07,"GM0736","37",337862160000,"De Ronde Venen",44456,23,0,0,51.7365484973907,0,0
2020-09-07,"GM0737","37",119238571166.667,"Tytsjerksteradiel",32052,0,0,0,0,0,0
2020-09-07,"GM0743","37",NA,"Asten",16721,7,0,0,41.8635249087973,0,0
2020-09-07,"GM0744","37",11012895140000,"Baarle-Nassau",6859,0,0,0,0,0,0
2020-09-07,"GM0748","37",1571132707500,"Bergen op Zoom",67496,16,0,0,23.7051084508712,0,0
2020-09-07,"GM0753","37",NA,"Best",29988,8,0,0,26.6773376017073,0,0
2020-09-07,"GM0755","37",114056145000,"Boekel",10785,2,0,0,18.5442744552619,0,0
2020-09-07,"GM0756","37",NA,"Boxmeer",29365,0,0,0,0,0,0
2020-09-07,"GM0757","37",744362063000,"Boxtel",30801,3,0,0,9.73994350832765,0,0
2020-09-07,"GM0758","37",2172480000,"Breda",184069,42,0,0,22.8175303826283,0,0
2020-09-07,"GM0762","37",675459600000,"Deurne",32471,13,0,0,40.0357241846571,0,0
2020-09-07,"GM0765","37",109190000,"Pekela",12196,0,0,0,0,0,0
2020-09-07,"GM0766","37",359550079500,"Dongen",26222,6,0,0,22.8815498436427,0,0
2020-09-07,"GM0770","37",174431400000,"Eersel",19313,12,0,0,62.1343136747269,0,0
2020-09-07,"GM0772","37",2366758680000,"Eindhoven",234394,88,0,0,37.5436231302849,0,0
2020-09-07,"GM0777","37",6218572500,"Etten-Leur",43878,8,0,0,18.2323715757327,0,0
2020-09-07,"GM0779","37",530980929000,"Geertruidenberg",21544,3,0,0,13.9249907166729,0,0
2020-09-07,"GM0784","37",459587175666.667,"Gilze en Rijen",26431,3,0,0,11.3503083500435,0,0
2020-09-07,"GM0785","37",927897857500,"Goirle",23904,23,0,0,96.2182061579652,0,0
2020-09-07,"GM0786","37",527754090000,"Grave",12436,4,0,0,32.1646831778707,0,0
2020-09-07,"GM0794","37",1257318030000,"Helmond",92423,19,0,0,20.5576533979637,0,0
2020-09-07,"GM0796","37",596719135250,"'s-Hertogenbosch",155111,39,0,0,25.1432844865935,0,0
2020-09-07,"GM0797","37",0,"Heusden",44692,12,0,0,26.85044303231,0,0
2020-09-07,"GM0798","37",NA,"Hilvarenbeek",15518,8,0,0,51.5530351849465,0,0
2020-09-07,"GM0809","37",1390090147500,"Loon op Zand",23408,4,0,0,17.0881749829118,0,0
2020-09-07,"GM0815","37",NA,"Mill en Sint Hubert",10939,4,0,0,36.5664137489716,0,0
2020-09-07,"GM0820","37",237777540000,"Nuenen, Gerwen en Nederwetten",23383,0,0,0,0,0,0
2020-09-07,"GM0823","37",418828000,"Oirschot",18714,3,0,0,16.0307790958641,0,0
2020-09-07,"GM0824","37",13895917500,"Oisterwijk",26245,6,0,0,22.8614974280815,0,0
2020-09-07,"GM0826","37",430655414000,"Oosterhout",55982,24,0,0,42.8709227966132,0,0
2020-09-07,"GM0828","37",2198626931500,"Oss",91915,43,0,0,46.7823532611652,0,0
2020-09-07,"GM0840","37",212813370000,"Rucphen",22878,2,0,0,8.74202290410001,0,0
2020-09-07,"GM0845","37",419566356500,"Sint-Michielsgestel",29208,8,0,0,27.3897562311695,0,0
2020-09-07,"GM0847","37",10269600000,"Someren",19368,0,0,0,0,0,0
2020-09-07,"GM0848","37",169382070000,"Son en Breugel",17322,4,0,0,23.0920217065004,0,0
2020-09-07,"GM0851","37",998850273333.333,"Steenbergen",24416,1,0,0,4.0956749672346,0,0
2020-09-07,"GM0852","37",NA,"Waterland",17424,9,0,0,51.6528925619835,0,0
2020-09-07,"GM0855","37",8960240614333.33,"Tilburg",219789,107,0,0,48.6830551119483,0,0
2020-09-07,"GM0856","37",420139020000,"Uden",42119,4,0,0,9.49690163584131,0,0
2020-09-07,"GM0858","37",313517490000,"Valkenswaard",31193,8,0,0,25.6467797262206,0,0
2020-09-07,"GM0861","37",456734850000,"Veldhoven",45466,10,0,0,21.994457396736,0,0
2020-09-07,"GM0865","37",4194210666.66667,"Vught",26558,7,0,0,26.3574064312072,0,0
2020-09-07,"GM0866","37",176267520000,"Waalre",17456,7,0,0,40.1008249312557,0,0
2020-09-07,"GM0867","37",1462778146400,"Waalwijk",48637,18,1,0,37.0088615662973,2.05604786479429,0
2020-09-07,"GM0873","37",2089576037666.67,"Woensdrecht",21876,1,0,0,4.57121960138965,0,0
2020-09-07,"GM0879","37",1381905000,"Zundert",21829,3,0,0,13.7431856704384,0,0
2020-09-07,"GM0880","37",NA,"Wormerland",16270,0,0,0,0,0,0
2020-09-07,"GM0882","37",29908654933.3333,"Landgraaf",37445,7,0,0,18.6940846574977,0,0
2020-09-07,"GM0888","37",0,"Beek",15865,1,0,0,6.30318310746927,0,0
2020-09-07,"GM0889","37",351192270000,"Beesel",13482,0,0,0,0,0,0
2020-09-07,"GM0893","37",144489823000,"Bergen (L,)",13085,4,0,0,30.5693542223921,0,0
2020-09-07,"GM0899","37",0,"Brunssum",27821,11,0,0,39.5384781280328,0,0
2020-09-07,"GM0907","37",250123445000,"Gennep",16921,5,0,0,29.5490810235802,0,0
2020-09-07,"GM0917","37",5338002950,"Heerlen",87086,29,0,0,33.3004156810509,0,0
2020-09-07,"GM0928","37",313708831700,"Kerkrade",45749,18,0,0,39.3451222977551,0,0
2020-09-07,"GM0935","37",2590115911666.67,"Maastricht",121575,22,0,0,18.095825622044,0,0
2020-09-07,"GM0938","37",322440075000,"Meerssen",18828,2,0,0,10.6224771616741,0,0
2020-09-07,"GM0944","37",116101700000,"Mook en Middelaar",7847,2,0,0,25.4874474321397,0,0
2020-09-07,"GM0946","37",3648552933.33333,"Nederweert",17019,2,0,0,11.7515717727246,0,0
2020-09-07,"GM0957","37",475811187600,"Roermond",58260,14,0,0,24.0302094061105,0,0
2020-09-07,"GM0965","37",514288240000,"Simpelveld",10555,2,0,0,18.9483657034581,0,0
2020-09-07,"GM0971","37",NA,"Stein",25007,1,0,0,3.99888031351222,0,0
2020-09-07,"GM0981","37",0,"Vaals",10105,0,0,0,0,0,0
2020-09-07,"GM0983","37",2665598793000,"Venlo",101802,34,1,0,33.3981650655193,0.982298972515275,0
2020-09-07,"GM0984","37",3624401396000,"Venray",43614,10,0,0,22.9284174806255,0,0
2020-09-07,"GM0986","37",6759750000,"Voerendaal",12475,1,0,0,8.01603206412826,0,0
2020-09-07,"GM0988","37",0,"Weert",50105,3,0,0,5.98742640455044,0,0
2020-09-07,"GM0994","37",93374680000,"Valkenburg aan de Geul",16367,0,0,0,0,0,0
2020-09-07,"GM0995","37",4.98265e+12,"Lelystad",78598,14,0,0,17.8121580701799,0,0
2020-09-07,"GM1507","37",732278712500,"Horst aan de Maas",42429,8,0,0,18.8550284003865,0,0
2020-09-07,"GM1509","37",652141876500,"Oude IJsselstreek",39388,5,0,0,12.6942215903321,0,0
2020-09-07,"GM1525","37",537064187000,"Teylingen",37440,13,0,0,34.7222222222222,0,0
2020-09-07,"GM1581","37",3394809547750,"Utrechtse Heuvelrug",49580,9,0,0,18.152480839048,0,0
2020-09-07,"GM1586","37",99312670166.6667,"Oost Gelre",29627,3,0,0,10.1258986735073,0,0
2020-09-07,"GM1598","37",1019935000,"Koggenland",22749,7,0,0,30.7705833223438,0,0
2020-09-07,"GM1621","37",674835857333.333,"Lansingerland",62373,31,0,0,49.7009924165905,0,0
2020-09-07,"GM1640","37",73861462266.6667,"Leudal",35879,2,0,0,5.57429136820982,0,0
2020-09-07,"GM1641","37",28578113433.3333,"Maasgouw",23965,3,0,0,12.5182557896933,0,0
2020-09-07,"GM1652","37",835105200000,"Gemert-Bakel",30723,5,0,0,16.2744523646779,0,0
2020-09-07,"GM1655","37",566120415000,"Halderberge",30284,8,0,0,26.4165896182803,0,0
2020-09-07,"GM1658","37",162496620000,"Heeze-Leende",16152,1,0,0,6.19118375433383,0,0
2020-09-07,"GM1659","37",307601775000,"Laarbeek",22523,3,0,0,13.3197176219864,0,0
2020-09-07,"GM1667","37",NA,"Reusel-De Mierden",13112,4,0,0,30.5064063453325,0,0
2020-09-07,"GM1669","37",83286159250,"Roerdalen",20574,0,0,0,0,0,0
2020-09-07,"GM1674","37",1434878025000,"Roosendaal",77251,18,0,0,23.300669247,0,0
2020-09-07,"GM1676","37",NA,"Schouwen-Duiveland",33839,10,0,0,29.5517007003753,0,0
