"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-10-05,"VR20","41",34513867564482.8,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,2455,26,9,7833609,0.456081618672195,0.00483019229551001,0.00167198964075346
2020-10-05,"VR21","41",45706247493846.2,"Brabant-Noord","Brabant-Noord",312114647,1155,8,3,4542209,0.370056327410998,0.00256316070934024,0.000961185266002592
2020-10-05,"VR22","41",55416548996250,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,1915,8,7,5464277,0.510022146919398,0.00213064082263978,0.00186431071980981
2020-10-05,"VR23","41",14175500931250,"Limburg-Noord","Limburg-Noord",250128177,716,1,4,3640119,0.286253235676043,0.000399795021893915,0.00159918008757566
2020-10-05,"VR24","41",10324882503846.2,"Limburg-Zuid","Limburg-Zuid",287245504,534,4,0,4180288,0.185903693030475,0.0013925370264455,0
2020-10-05,"VR25","41",25006044280000,"Flevoland","Flevoland",203473101,622,12,1,2961147,0.305691512511032,0.00589758545037361,0.000491465454197801
2020-10-12,"VR01","42",14923591425342.1,"Groningen","Groningen",281643297,1237,18,2,4098759,0.439208038386229,0.00639106280594351,0.000710118089549278
2020-10-12,"VR02","42",12175587804763.6,"Fryslân","Fryslân",312629317,1231,12,1,4549699,0.393757057659439,0.00383841161000265,0.000319867634166888
2020-10-12,"VR03","42",22058820426423.1,"Drenthe","Drenthe",237461042,1148,15,7,3455774,0.48344772276372,0.00631682564586742,0.00294785196807146
2020-10-12,"VR04","42",9703782220535.71,"IJsselland","IJsselland",255575502,1012,3,2,3719394,0.395969094095724,0.00117382142518495,0.000782547616789969
2020-10-12,"VR05","42",28855266668421.1,"Twente","Twente",303541784,2164,19,8,4417448,0.712916677066114,0.00625943478015534,0.0026355514863812
2020-10-12,"VR06","42",24103407678437.5,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,1631,17,7,5794117,0.409656324440234,0.00426986972132678,0.00175818164995808
2020-10-12,"VR07","42",16602374884478.3,"Gelderland-Midden","Gelderland-Midden",335076625,1761,26,7,4876375,0.525551431706106,0.00775941920747232,0.00208907440201178
2020-10-12,"VR08","42",20255570965263.2,"Gelderland-Zuid","Gelderland-Zuid",270127676,1520,17,9,3931172,0.562696878197701,0.00629332034826376,0.00333175783143376
2020-10-12,"VR09","42",38474979934324.3,"Utrecht","Utrecht",651675154,5129,46,8,9483838,0.787048572976591,0.00705873159620261,0.00122760549499176
2020-10-12,"VR10","42",1.21024e+14,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,1358,10,3,4639236,0.425996732285095,0.00313694206395505,0.000941082619186514
2020-10-12,"VR11","42",NA,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,1057,22,5,2374274,0.647883790267525,0.0134848092581699,0.00306472937685679
2020-10-12,"VR12","42",47176967141111.1,"Kennemerland","Kennemerland",264524507,1629,23,9,3849629,0.6158219586059,0.00869484656104094,0.00340233126301602
2020-10-12,"VR13","42",20223753792857.1,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,5303,71,4,13603324,0.567321899960893,0.00759567318446604,0.000427925249829073
2020-10-12,"VR14","42",57780432938750,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,822,4,1,1799525,0.664763088180379,0.00323485687679016,0.000808714219197541
2020-10-12,"VR15","42",70925079866666.7,"Haaglanden","Haaglanden",537291911,4299,47,16,7819217,0.800123715244245,0.008747572602112,0.00297789705603813
