Version,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_per_ml,RNA_flow_per_100000
1,8/1/2020,8017,Epe,387,
1,8/1/2020,2038,Franeker,0,
1,8/1/2020,1033,Garmerwolde,156,
1,8/1/2020,2032,Harlingen,0,
1,8/1/2020,2022,Joure,0,
1,8/1/2020,6004,Lelystad,399,
1,8/1/2020,1039,Scheemda,0,
1,8/1/2020,1008,Stadskanaal,152,
1,8/1/2020,3023,Tweede Exloermond,0,
1,8/1/2020,6006,Zeewolde,0,
1,8/2/2020,12006,Alkmaar,493,
1,8/2/2020,11014,Amsterdam West,470,
1,8/2/2020,9017,Bergharen,0,
1,8/2/2020,12022,Beverwijk,87,
